,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
34873,32.703022,-120.11374,0.0,0,0,0,0,def
34874,32.750927,-120.03488,0.0,0,0,0,0,def
34875,32.79878,-119.9559,0.0,0,0,0,0,def
34876,32.846573,-119.8768,0.0,0,0,0,0,def
34877,32.894306,-119.79759,0.0,0,0,0,0,def
34878,32.94199,-119.71828,0.0,0,0,0,0,def
34879,32.9896,-119.638855,0.0,0,0,0,0,def
34880,33.03716,-119.559296,0.0,0,0,0,0,def
34881,33.08467,-119.479645,0.0,0,0,0,0,def
34882,33.132114,-119.39987,0.0,0,0,0,0,def
34883,33.1795,-119.31999,0.0,0,0,0,0,def
34884,33.22682,-119.240005,0.0,0,0,0,0,def
34885,33.274097,-119.1599,0.0,0,0,0,0,def
34886,33.3213,-119.079666,0.0,0,0,0,0,def
34887,33.368458,-118.999344,0.0,0,0,1,0,def
34888,33.41554,-118.918884,0.0,0,0,1,0,def
34889,33.462574,-118.83833,0.0,0,0,0,0,def
34890,33.50954,-118.75766,0.0,0,0,0,0,def
34891,33.556454,-118.67688,0.0,0,0,0,0,def
34892,33.6033,-118.59598,0.0,0,0,0,0,def
34893,33.650085,-118.51495,0.0,0,0,0,0,def
34894,33.69682,-118.43384,0.0,0,0,1,0,def
34895,33.743477,-118.352585,1.0,0,0,0,1,def
34896,33.79009,-118.271225,1.0,0,1,0,0,def
34897,33.836628,-118.18976,1.0,1,1,0,0,def
34898,33.883114,-118.108185,1.0,1,1,0,0,def
